step,k,m,w1,w2
1,0.1,0.1,-3,-1
2,0.1,0.2,-1.5,-0.5
3,0.1,0.3,-1,-0.333333
4,0.1,0.4,-0.75,-0.25
5,0.1,0.5,-0.6,-0.2
6,0.1,0.6,-0.5,-0.166667
7,0.1,0.7,-0.428571,-0.142857
8,0.1,0.8,-0.375,-0.125
9,0.1,0.9,-0.333333,-0.111111
10,0.1,1,-0.3,-0.1
11,0.1,1.1,-0.272727,-0.0909091
12,0.1,1.2,-0.25,-0.0833334
13,0.1,1.3,-0.230769,-0.0769231
14,0.1,1.4,-0.214286,-0.0714286
15,0.1,1.5,-0.2,-0.0666667
16,0.1,1.6,-0.1875,-0.0625
17,0.1,1.7,-0.176471,-0.0588236
18,0.1,1.8,-0.166667,-0.0555556
19,0.1,1.9,-0.157895,-0.0526316
20,0.1,2,-0.15,-0.05
21,0.1,2.1,-0.142857,-0.0476191
22,0.1,2.2,-0.136364,-0.0454546
23,0.1,2.3,-0.130435,-0.0434783
24,0.1,2.4,-0.125,-0.0416667
25,0.1,2.5,-0.12,-0.04
26,0.1,2.6,-0.115385,-0.0384616
27,0.1,2.7,-0.111111,-0.0370371
28,0.1,2.8,-0.107143,-0.0357143
29,0.1,2.9,-0.103448,-0.0344828
30,0.1,3,-0.1,-0.0333333
31,0.1,3.1,-0.0967742,-0.0322581
32,0.1,3.2,-0.09375,-0.03125
33,0.1,3.3,-0.0909091,-0.030303
34,0.1,3.4,-0.0882353,-0.0294118
35,0.1,3.5,-0.0857143,-0.0285714
36,0.1,3.6,-0.0833333,-0.0277778
37,0.1,3.7,-0.0810811,-0.027027
38,0.1,3.8,-0.0789474,-0.0263158
39,0.1,3.9,-0.0769231,-0.025641
40,0.1,4,-0.075,-0.025
41,0.1,4.1,-0.0731707,-0.0243903
42,0.1,4.2,-0.0714286,-0.0238095
43,0.1,4.3,-0.0697674,-0.0232559
44,0.1,4.4,-0.0681817,-0.0227274
45,0.1,4.5,-0.0666666,-0.0222223
46,0.1,4.6,-0.0652173,-0.0217392
47,0.1,4.7,-0.0638297,-0.0212767
48,0.1,4.8,-0.0624999,-0.0208334
49,0.1,4.9,-0.0612244,-0.0204082
50,0.1,5,-0.0599999,-0.0200001
51,0.1,5.1,-0.0588235,-0.0196079
52,0.1,5.2,-0.0576922,-0.0192308
53,0.1,5.3,-0.0566037,-0.018868
54,0.1,5.4,-0.0555555,-0.0185186
55,0.1,5.5,-0.0545454,-0.0181819
56,0.1,5.6,-0.0535714,-0.0178572
57,0.1,5.7,-0.0526315,-0.0175439
58,0.1,5.8,-0.0517241,-0.0172414
59,0.1,5.9,-0.0508474,-0.0169492
60,0.1,6,-0.0499999,-0.0166667
61,0.1,6.1,-0.0491803,-0.0163935
62,0.1,6.2,-0.048387,-0.0161291
63,0.1,6.3,-0.047619,-0.0158731
64,0.1,6.4,-0.0468749,-0.0156251
65,0.1,6.5,-0.0461538,-0.0153847
66,0.1,6.6,-0.0454545,-0.0151516
67,0.1,6.7,-0.0447761,-0.0149254
68,0.1,6.8,-0.0441176,-0.0147059
69,0.1,6.9,-0.0434782,-0.0144928
70,0.1,7,-0.0428571,-0.0142858
71,0.1,7.1,-0.0422535,-0.0140846
72,0.1,7.2,-0.0416666,-0.0138889
73,0.1,7.3,-0.0410958,-0.0136987
74,0.1,7.4,-0.0405405,-0.0135136
75,0.1,7.5,-0.0399999,-0.0133334
76,0.1,7.6,-0.0394736,-0.0131579
77,0.1,7.7,-0.038961,-0.0129871
78,0.1,7.8,-0.0384615,-0.0128206
79,0.1,7.9,-0.0379746,-0.0126583
80,0.1,8,-0.0375,-0.0125
81,0.1,8.1,-0.037037,-0.0123457
82,0.1,8.2,-0.0365853,-0.0121952
83,0.1,8.3,-0.0361445,-0.0120482
84,0.1,8.4,-0.0357142,-0.0119048
85,0.1,8.5,-0.0352941,-0.0117648
86,0.1,8.6,-0.0348837,-0.011628
87,0.1,8.7,-0.0344827,-0.0114943
88,0.1,8.8,-0.0340909,-0.0113637
89,0.1,8.9,-0.0337078,-0.011236
90,0.1,9,-0.0333333,-0.0111112
91,0.1,9.1,-0.032967,-0.0109891
92,0.1,9.2,-0.0326087,-0.0108696
93,0.1,9.3,-0.032258,-0.0107527
94,0.1,9.4,-0.0319149,-0.0106383
95,0.1,9.5,-0.0315789,-0.0105264
96,0.1,9.6,-0.03125,-0.0104167
97,0.1,9.7,-0.0309278,-0.0103093
98,0.1,9.8,-0.0306122,-0.0102041
99,0.1,9.9,-0.030303,-0.010101
100,0.1,10,-0.03,-0.01
101,0.2,0.1,-6,-2
102,0.2,0.2,-3,-1
103,0.2,0.3,-2,-0.666667
104,0.2,0.4,-1.5,-0.5
105,0.2,0.5,-1.2,-0.4
106,0.2,0.6,-1,-0.333333
107,0.2,0.7,-0.857143,-0.285714
108,0.2,0.8,-0.75,-0.25
109,0.2,0.9,-0.666667,-0.222222
110,0.2,1,-0.6,-0.2
111,0.2,1.1,-0.545454,-0.181818
112,0.2,1.2,-0.5,-0.166667
113,0.2,1.3,-0.461538,-0.153846
114,0.2,1.4,-0.428571,-0.142857
115,0.2,1.5,-0.4,-0.133333
116,0.2,1.6,-0.375,-0.125
117,0.2,1.7,-0.352941,-0.117647
118,0.2,1.8,-0.333333,-0.111111
119,0.2,1.9,-0.315789,-0.105263
120,0.2,2,-0.3,-0.1
121,0.2,2.1,-0.285714,-0.0952381
122,0.2,2.2,-0.272727,-0.0909091
123,0.2,2.3,-0.26087,-0.0869566
124,0.2,2.4,-0.25,-0.0833334
125,0.2,2.5,-0.24,-0.08
126,0.2,2.6,-0.230769,-0.0769231
127,0.2,2.7,-0.222222,-0.0740741
128,0.2,2.8,-0.214286,-0.0714286
129,0.2,2.9,-0.206897,-0.0689655
130,0.2,3,-0.2,-0.0666667
131,0.2,3.1,-0.193548,-0.0645162
132,0.2,3.2,-0.1875,-0.0625
133,0.2,3.3,-0.181818,-0.0606061
134,0.2,3.4,-0.176471,-0.0588236
135,0.2,3.5,-0.171429,-0.0571429
136,0.2,3.6,-0.166667,-0.0555556
137,0.2,3.7,-0.162162,-0.0540541
138,0.2,3.8,-0.157895,-0.0526316
139,0.2,3.9,-0.153846,-0.0512821
140,0.2,4,-0.15,-0.05
141,0.2,4.1,-0.146341,-0.0487805
142,0.2,4.2,-0.142857,-0.0476191
143,0.2,4.3,-0.139535,-0.0465116
144,0.2,4.4,-0.136364,-0.0454546
145,0.2,4.5,-0.133333,-0.0444445
146,0.2,4.6,-0.130435,-0.0434783
147,0.2,4.7,-0.12766,-0.0425532
148,0.2,4.8,-0.125,-0.0416667
149,0.2,4.9,-0.122449,-0.0408163
150,0.2,5,-0.12,-0.04
151,0.2,5.1,-0.117647,-0.0392157
152,0.2,5.2,-0.115385,-0.0384616
153,0.2,5.3,-0.113208,-0.0377359
154,0.2,5.4,-0.111111,-0.0370371
155,0.2,5.5,-0.109091,-0.0363637
156,0.2,5.6,-0.107143,-0.0357143
157,0.2,5.7,-0.105263,-0.0350877
158,0.2,5.8,-0.103448,-0.0344828
159,0.2,5.9,-0.101695,-0.0338983
160,0.2,6,-0.1,-0.0333333
161,0.2,6.1,-0.0983606,-0.0327869
162,0.2,6.2,-0.0967742,-0.0322581
163,0.2,6.3,-0.0952381,-0.031746
164,0.2,6.4,-0.09375,-0.03125
165,0.2,6.5,-0.0923077,-0.0307692
166,0.2,6.6,-0.0909091,-0.030303
167,0.2,6.7,-0.0895522,-0.0298508
168,0.2,6.8,-0.0882353,-0.0294118
169,0.2,6.9,-0.0869565,-0.0289855
170,0.2,7,-0.0857143,-0.0285714
171,0.2,7.1,-0.084507,-0.028169
172,0.2,7.2,-0.0833333,-0.0277778
173,0.2,7.3,-0.0821918,-0.0273973
174,0.2,7.4,-0.0810811,-0.027027
175,0.2,7.5,-0.08,-0.0266667
176,0.2,7.6,-0.0789474,-0.0263158
177,0.2,7.7,-0.0779221,-0.025974
178,0.2,7.8,-0.0769231,-0.025641
179,0.2,7.9,-0.0759494,-0.0253165
180,0.2,8,-0.075,-0.025
181,0.2,8.1,-0.0740741,-0.0246914
182,0.2,8.2,-0.0731707,-0.0243903
183,0.2,8.3,-0.0722891,-0.0240964
184,0.2,8.4,-0.0714286,-0.0238095
185,0.2,8.5,-0.0705882,-0.0235294
186,0.2,8.6,-0.0697674,-0.0232559
187,0.2,8.7,-0.0689654,-0.0229886
188,0.2,8.8,-0.0681817,-0.0227274
189,0.2,8.9,-0.0674156,-0.022472
190,0.2,9,-0.0666666,-0.0222223
191,0.2,9.1,-0.065934,-0.0219781
192,0.2,9.2,-0.0652173,-0.0217392
193,0.2,9.3,-0.064516,-0.0215055
194,0.2,9.4,-0.0638297,-0.0212767
195,0.2,9.5,-0.0631578,-0.0210527
196,0.2,9.6,-0.0624999,-0.0208334
197,0.2,9.7,-0.0618556,-0.0206186
198,0.2,9.8,-0.0612244,-0.0204082
199,0.2,9.9,-0.060606,-0.0202021
200,0.2,10,-0.0599999,-0.0200001
201,0.3,0.1,-9,-3
202,0.3,0.2,-4.5,-1.5
203,0.3,0.3,-3,-1
204,0.3,0.4,-2.25,-0.75
205,0.3,0.5,-1.8,-0.6
206,0.3,0.6,-1.5,-0.5
207,0.3,0.7,-1.28571,-0.428571
208,0.3,0.8,-1.125,-0.375
209,0.3,0.9,-1,-0.333333
210,0.3,1,-0.9,-0.3
211,0.3,1.1,-0.818182,-0.272727
212,0.3,1.2,-0.75,-0.25
213,0.3,1.3,-0.692308,-0.230769
214,0.3,1.4,-0.642857,-0.214286
215,0.3,1.5,-0.6,-0.2
216,0.3,1.6,-0.5625,-0.1875
217,0.3,1.7,-0.529412,-0.176471
218,0.3,1.8,-0.5,-0.166667
219,0.3,1.9,-0.473684,-0.157895
220,0.3,2,-0.45,-0.15
221,0.3,2.1,-0.428571,-0.142857
222,0.3,2.2,-0.409091,-0.136364
223,0.3,2.3,-0.391304,-0.130435
224,0.3,2.4,-0.375,-0.125
225,0.3,2.5,-0.36,-0.12
226,0.3,2.6,-0.346154,-0.115385
227,0.3,2.7,-0.333333,-0.111111
228,0.3,2.8,-0.321429,-0.107143
229,0.3,2.9,-0.310345,-0.103448
230,0.3,3,-0.3,-0.1
231,0.3,3.1,-0.290323,-0.0967742
232,0.3,3.2,-0.28125,-0.09375
233,0.3,3.3,-0.272727,-0.0909091
234,0.3,3.4,-0.264706,-0.0882353
235,0.3,3.5,-0.257143,-0.0857143
236,0.3,3.6,-0.25,-0.0833334
237,0.3,3.7,-0.243243,-0.0810811
238,0.3,3.8,-0.236842,-0.0789474
239,0.3,3.9,-0.230769,-0.0769231
240,0.3,4,-0.225,-0.075
241,0.3,4.1,-0.219512,-0.0731708
242,0.3,4.2,-0.214286,-0.0714286
243,0.3,4.3,-0.209302,-0.0697675
244,0.3,4.4,-0.204545,-0.0681818
245,0.3,4.5,-0.2,-0.0666667
246,0.3,4.6,-0.195652,-0.0652174
247,0.3,4.7,-0.191489,-0.0638298
248,0.3,4.8,-0.1875,-0.0625
249,0.3,4.9,-0.183673,-0.0612245
250,0.3,5,-0.18,-0.06
251,0.3,5.1,-0.176471,-0.0588236
252,0.3,5.2,-0.173077,-0.0576923
253,0.3,5.3,-0.169811,-0.0566038
254,0.3,5.4,-0.166667,-0.0555556
255,0.3,5.5,-0.163636,-0.0545455
256,0.3,5.6,-0.160714,-0.0535715
257,0.3,5.7,-0.157895,-0.0526316
258,0.3,5.8,-0.155172,-0.0517242
259,0.3,5.9,-0.152542,-0.0508475
260,0.3,6,-0.15,-0.05
261,0.3,6.1,-0.147541,-0.0491803
262,0.3,6.2,-0.145161,-0.0483871
263,0.3,6.3,-0.142857,-0.0476191
264,0.3,6.4,-0.140625,-0.046875
265,0.3,6.5,-0.138462,-0.0461539
266,0.3,6.6,-0.136364,-0.0454546
267,0.3,6.7,-0.134328,-0.0447761
268,0.3,6.8,-0.132353,-0.0441177
269,0.3,6.9,-0.130435,-0.0434783
270,0.3,7,-0.128571,-0.0428572
271,0.3,7.1,-0.126761,-0.0422535
272,0.3,7.2,-0.125,-0.0416667
273,0.3,7.3,-0.123288,-0.0410959
274,0.3,7.4,-0.121622,-0.0405406
275,0.3,7.5,-0.12,-0.04
276,0.3,7.6,-0.118421,-0.0394737
277,0.3,7.7,-0.116883,-0.0389611
278,0.3,7.8,-0.115385,-0.0384616
279,0.3,7.9,-0.113924,-0.0379747
280,0.3,8,-0.1125,-0.0375
281,0.3,8.1,-0.111111,-0.0370371
282,0.3,8.2,-0.109756,-0.0365854
283,0.3,8.3,-0.108434,-0.0361446
284,0.3,8.4,-0.107143,-0.0357143
285,0.3,8.5,-0.105882,-0.0352941
286,0.3,8.6,-0.104651,-0.0348837
287,0.3,8.7,-0.103448,-0.0344828
288,0.3,8.8,-0.102273,-0.0340909
289,0.3,8.9,-0.101124,-0.0337079
290,0.3,9,-0.1,-0.0333333
291,0.3,9.1,-0.0989011,-0.032967
292,0.3,9.2,-0.0978261,-0.0326087
293,0.3,9.3,-0.0967742,-0.0322581
294,0.3,9.4,-0.0957447,-0.0319149
295,0.3,9.5,-0.0947368,-0.031579
296,0.3,9.6,-0.09375,-0.03125
297,0.3,9.7,-0.0927835,-0.0309278
298,0.3,9.8,-0.0918367,-0.0306123
299,0.3,9.9,-0.0909091,-0.030303
300,0.3,10,-0.09,-0.03
301,0.4,0.1,-12,-4
302,0.4,0.2,-6,-2
303,0.4,0.3,-4,-1.33333
304,0.4,0.4,-3,-1
305,0.4,0.5,-2.4,-0.8
306,0.4,0.6,-2,-0.666667
307,0.4,0.7,-1.71429,-0.571429
308,0.4,0.8,-1.5,-0.5
309,0.4,0.9,-1.33333,-0.444444
310,0.4,1,-1.2,-0.4
311,0.4,1.1,-1.09091,-0.363636
312,0.4,1.2,-1,-0.333333
313,0.4,1.3,-0.923077,-0.307692
314,0.4,1.4,-0.857143,-0.285714
315,0.4,1.5,-0.8,-0.266667
316,0.4,1.6,-0.75,-0.25
317,0.4,1.7,-0.705882,-0.235294
318,0.4,1.8,-0.666667,-0.222222
319,0.4,1.9,-0.631579,-0.210526
320,0.4,2,-0.6,-0.2
321,0.4,2.1,-0.571428,-0.190476
322,0.4,2.2,-0.545454,-0.181818
323,0.4,2.3,-0.521739,-0.173913
324,0.4,2.4,-0.5,-0.166667
325,0.4,2.5,-0.48,-0.16
326,0.4,2.6,-0.461538,-0.153846
327,0.4,2.7,-0.444444,-0.148148
328,0.4,2.8,-0.428571,-0.142857
329,0.4,2.9,-0.413793,-0.137931
330,0.4,3,-0.4,-0.133333
331,0.4,3.1,-0.387097,-0.129032
332,0.4,3.2,-0.375,-0.125
333,0.4,3.3,-0.363636,-0.121212
334,0.4,3.4,-0.352941,-0.117647
335,0.4,3.5,-0.342857,-0.114286
336,0.4,3.6,-0.333333,-0.111111
337,0.4,3.7,-0.324324,-0.108108
338,0.4,3.8,-0.315789,-0.105263
339,0.4,3.9,-0.307692,-0.102564
340,0.4,4,-0.3,-0.1
341,0.4,4.1,-0.292683,-0.097561
342,0.4,4.2,-0.285714,-0.0952381
343,0.4,4.3,-0.27907,-0.0930233
344,0.4,4.4,-0.272727,-0.0909091
345,0.4,4.5,-0.266667,-0.0888889
346,0.4,4.6,-0.26087,-0.0869566
347,0.4,4.7,-0.255319,-0.0851064
348,0.4,4.8,-0.25,-0.0833334
349,0.4,4.9,-0.244898,-0.0816327
350,0.4,5,-0.24,-0.08
351,0.4,5.1,-0.235294,-0.0784314
352,0.4,5.2,-0.230769,-0.0769231
353,0.4,5.3,-0.226415,-0.0754717
354,0.4,5.4,-0.222222,-0.0740741
355,0.4,5.5,-0.218182,-0.0727273
356,0.4,5.6,-0.214286,-0.0714286
357,0.4,5.7,-0.210526,-0.0701755
358,0.4,5.8,-0.206897,-0.0689655
359,0.4,5.9,-0.20339,-0.0677966
360,0.4,6,-0.2,-0.0666667
361,0.4,6.1,-0.196721,-0.0655738
362,0.4,6.2,-0.193548,-0.0645162
363,0.4,6.3,-0.190476,-0.0634921
364,0.4,6.4,-0.1875,-0.0625
365,0.4,6.5,-0.184615,-0.0615385
366,0.4,6.6,-0.181818,-0.0606061
367,0.4,6.7,-0.179104,-0.0597015
368,0.4,6.8,-0.176471,-0.0588236
369,0.4,6.9,-0.173913,-0.057971
370,0.4,7,-0.171429,-0.0571429
371,0.4,7.1,-0.169014,-0.0563381
372,0.4,7.2,-0.166667,-0.0555556
373,0.4,7.3,-0.164384,-0.0547945
374,0.4,7.4,-0.162162,-0.0540541
375,0.4,7.5,-0.16,-0.0533334
376,0.4,7.6,-0.157895,-0.0526316
377,0.4,7.7,-0.155844,-0.0519481
378,0.4,7.8,-0.153846,-0.0512821
379,0.4,7.9,-0.151899,-0.0506329
380,0.4,8,-0.15,-0.05
381,0.4,8.1,-0.148148,-0.0493827
382,0.4,8.2,-0.146341,-0.0487805
383,0.4,8.3,-0.144578,-0.0481928
384,0.4,8.4,-0.142857,-0.0476191
385,0.4,8.5,-0.141176,-0.0470588
386,0.4,8.6,-0.139535,-0.0465116
387,0.4,8.7,-0.137931,-0.045977
388,0.4,8.8,-0.136364,-0.0454546
389,0.4,8.9,-0.134831,-0.0449438
390,0.4,9,-0.133333,-0.0444445
391,0.4,9.1,-0.131868,-0.0439561
392,0.4,9.2,-0.130435,-0.0434783
393,0.4,9.3,-0.129032,-0.0430108
394,0.4,9.4,-0.12766,-0.0425532
395,0.4,9.5,-0.126316,-0.0421053
396,0.4,9.6,-0.125,-0.0416667
397,0.4,9.7,-0.123711,-0.0412371
398,0.4,9.8,-0.122449,-0.0408163
399,0.4,9.9,-0.121212,-0.0404041
400,0.4,10,-0.12,-0.04
401,0.5,0.1,-15,-5
402,0.5,0.2,-7.5,-2.5
403,0.5,0.3,-5,-1.66667
404,0.5,0.4,-3.75,-1.25
405,0.5,0.5,-3,-1
406,0.5,0.6,-2.5,-0.833333
407,0.5,0.7,-2.14286,-0.714286
408,0.5,0.8,-1.875,-0.625
409,0.5,0.9,-1.66667,-0.555556
410,0.5,1,-1.5,-0.5
411,0.5,1.1,-1.36364,-0.454545
412,0.5,1.2,-1.25,-0.416667
413,0.5,1.3,-1.15385,-0.384615
414,0.5,1.4,-1.07143,-0.357143
415,0.5,1.5,-1,-0.333333
416,0.5,1.6,-0.9375,-0.3125
417,0.5,1.7,-0.882353,-0.294118
418,0.5,1.8,-0.833333,-0.277778
419,0.5,1.9,-0.789474,-0.263158
420,0.5,2,-0.75,-0.25
421,0.5,2.1,-0.714286,-0.238095
422,0.5,2.2,-0.681818,-0.227273
423,0.5,2.3,-0.652174,-0.217391
424,0.5,2.4,-0.625,-0.208333
425,0.5,2.5,-0.6,-0.2
426,0.5,2.6,-0.576923,-0.192308
427,0.5,2.7,-0.555555,-0.185185
428,0.5,2.8,-0.535714,-0.178572
429,0.5,2.9,-0.517241,-0.172414
430,0.5,3,-0.5,-0.166667
431,0.5,3.1,-0.483871,-0.16129
432,0.5,3.2,-0.46875,-0.15625
433,0.5,3.3,-0.454545,-0.151515
434,0.5,3.4,-0.441176,-0.147059
435,0.5,3.5,-0.428571,-0.142857
436,0.5,3.6,-0.416667,-0.138889
437,0.5,3.7,-0.405405,-0.135135
438,0.5,3.8,-0.394737,-0.131579
439,0.5,3.9,-0.384615,-0.128205
440,0.5,4,-0.375,-0.125
441,0.5,4.1,-0.365854,-0.121951
442,0.5,4.2,-0.357143,-0.119048
443,0.5,4.3,-0.348837,-0.116279
444,0.5,4.4,-0.340909,-0.113636
445,0.5,4.5,-0.333333,-0.111111
446,0.5,4.6,-0.326087,-0.108696
447,0.5,4.7,-0.319149,-0.106383
448,0.5,4.8,-0.3125,-0.104167
449,0.5,4.9,-0.306122,-0.102041
450,0.5,5,-0.3,-0.1
451,0.5,5.1,-0.294118,-0.0980393
452,0.5,5.2,-0.288461,-0.0961539
453,0.5,5.3,-0.283019,-0.0943397
454,0.5,5.4,-0.277778,-0.0925926
455,0.5,5.5,-0.272727,-0.0909091
456,0.5,5.6,-0.267857,-0.0892858
457,0.5,5.7,-0.263158,-0.0877193
458,0.5,5.8,-0.258621,-0.0862069
459,0.5,5.9,-0.254237,-0.0847458
460,0.5,6,-0.25,-0.0833334
461,0.5,6.1,-0.245902,-0.0819672
462,0.5,6.2,-0.241935,-0.0806452
463,0.5,6.3,-0.238095,-0.0793651
464,0.5,6.4,-0.234375,-0.078125
465,0.5,6.5,-0.230769,-0.0769231
466,0.5,6.6,-0.227273,-0.0757576
467,0.5,6.7,-0.223881,-0.0746269
468,0.5,6.8,-0.220588,-0.0735294
469,0.5,6.9,-0.217391,-0.0724638
470,0.5,7,-0.214286,-0.0714286
471,0.5,7.1,-0.211268,-0.0704226
472,0.5,7.2,-0.208333,-0.0694445
473,0.5,7.3,-0.205479,-0.0684932
474,0.5,7.4,-0.202703,-0.0675676
475,0.5,7.5,-0.2,-0.0666667
476,0.5,7.6,-0.197368,-0.0657895
477,0.5,7.7,-0.194805,-0.0649351
478,0.5,7.8,-0.192308,-0.0641026
479,0.5,7.9,-0.189873,-0.0632912
480,0.5,8,-0.1875,-0.0625
481,0.5,8.1,-0.185185,-0.0617284
482,0.5,8.2,-0.182927,-0.0609756
483,0.5,8.3,-0.180723,-0.060241
484,0.5,8.4,-0.178571,-0.0595238
485,0.5,8.5,-0.176471,-0.0588236
486,0.5,8.6,-0.174419,-0.0581396
487,0.5,8.7,-0.172414,-0.0574713
488,0.5,8.8,-0.170455,-0.0568182
489,0.5,8.9,-0.168539,-0.0561798
490,0.5,9,-0.166667,-0.0555556
491,0.5,9.1,-0.164835,-0.0549451
492,0.5,9.2,-0.163043,-0.0543478
493,0.5,9.3,-0.16129,-0.0537635
494,0.5,9.4,-0.159574,-0.0531915
495,0.5,9.5,-0.157895,-0.0526316
496,0.5,9.6,-0.15625,-0.0520834
497,0.5,9.7,-0.154639,-0.0515464
498,0.5,9.8,-0.153061,-0.0510204
499,0.5,9.9,-0.151515,-0.0505051
500,0.5,10,-0.15,-0.05
501,0.6,0.1,-18,-6
502,0.6,0.2,-9,-3
503,0.6,0.3,-6,-2
504,0.6,0.4,-4.5,-1.5
505,0.6,0.5,-3.6,-1.2
506,0.6,0.6,-3,-1
507,0.6,0.7,-2.57143,-0.857143
508,0.6,0.8,-2.25,-0.75
509,0.6,0.9,-2,-0.666667
510,0.6,1,-1.8,-0.6
511,0.6,1.1,-1.63636,-0.545455
512,0.6,1.2,-1.5,-0.5
513,0.6,1.3,-1.38462,-0.461538
514,0.6,1.4,-1.28571,-0.428571
515,0.6,1.5,-1.2,-0.4
516,0.6,1.6,-1.125,-0.375
517,0.6,1.7,-1.05882,-0.352941
518,0.6,1.8,-1,-0.333333
519,0.6,1.9,-0.947368,-0.315789
520,0.6,2,-0.9,-0.3
521,0.6,2.1,-0.857143,-0.285714
522,0.6,2.2,-0.818182,-0.272727
523,0.6,2.3,-0.782609,-0.26087
524,0.6,2.4,-0.75,-0.25
525,0.6,2.5,-0.72,-0.24
526,0.6,2.6,-0.692308,-0.230769
527,0.6,2.7,-0.666667,-0.222222
528,0.6,2.8,-0.642857,-0.214286
529,0.6,2.9,-0.62069,-0.206897
530,0.6,3,-0.6,-0.2
531,0.6,3.1,-0.580645,-0.193548
532,0.6,3.2,-0.5625,-0.1875
533,0.6,3.3,-0.545454,-0.181818
534,0.6,3.4,-0.529412,-0.176471
535,0.6,3.5,-0.514286,-0.171429
536,0.6,3.6,-0.5,-0.166667
537,0.6,3.7,-0.486486,-0.162162
538,0.6,3.8,-0.473684,-0.157895
539,0.6,3.9,-0.461538,-0.153846
540,0.6,4,-0.45,-0.15
541,0.6,4.1,-0.439024,-0.146342
542,0.6,4.2,-0.428571,-0.142857
543,0.6,4.3,-0.418605,-0.139535
544,0.6,4.4,-0.409091,-0.136364
545,0.6,4.5,-0.4,-0.133333
546,0.6,4.6,-0.391304,-0.130435
547,0.6,4.7,-0.382979,-0.12766
548,0.6,4.8,-0.375,-0.125
549,0.6,4.9,-0.367347,-0.122449
550,0.6,5,-0.36,-0.12
551,0.6,5.1,-0.352941,-0.117647
552,0.6,5.2,-0.346154,-0.115385
553,0.6,5.3,-0.339623,-0.113208
554,0.6,5.4,-0.333333,-0.111111
555,0.6,5.5,-0.327273,-0.109091
556,0.6,5.6,-0.321429,-0.107143
557,0.6,5.7,-0.315789,-0.105263
558,0.6,5.8,-0.310345,-0.103448
559,0.6,5.9,-0.305085,-0.101695
560,0.6,6,-0.3,-0.1
561,0.6,6.1,-0.295082,-0.0983607
562,0.6,6.2,-0.290323,-0.0967742
563,0.6,6.3,-0.285714,-0.0952381
564,0.6,6.4,-0.28125,-0.09375
565,0.6,6.5,-0.276923,-0.0923077
566,0.6,6.6,-0.272727,-0.0909091
567,0.6,6.7,-0.268657,-0.0895523
568,0.6,6.8,-0.264706,-0.0882353
569,0.6,6.9,-0.26087,-0.0869566
570,0.6,7,-0.257143,-0.0857143
571,0.6,7.1,-0.253521,-0.0845071
572,0.6,7.2,-0.25,-0.0833334
573,0.6,7.3,-0.246575,-0.0821918
574,0.6,7.4,-0.243243,-0.0810811
575,0.6,7.5,-0.24,-0.08
576,0.6,7.6,-0.236842,-0.0789474
577,0.6,7.7,-0.233766,-0.0779221
578,0.6,7.8,-0.230769,-0.0769231
579,0.6,7.9,-0.227848,-0.0759494
580,0.6,8,-0.225,-0.075
581,0.6,8.1,-0.222222,-0.0740741
582,0.6,8.2,-0.219512,-0.0731708
583,0.6,8.3,-0.216867,-0.0722892
584,0.6,8.4,-0.214286,-0.0714286
585,0.6,8.5,-0.211765,-0.0705883
586,0.6,8.6,-0.209302,-0.0697675
587,0.6,8.7,-0.206897,-0.0689655
588,0.6,8.8,-0.204545,-0.0681818
589,0.6,8.9,-0.202247,-0.0674158
590,0.6,9,-0.2,-0.0666667
591,0.6,9.1,-0.197802,-0.0659341
592,0.6,9.2,-0.195652,-0.0652174
593,0.6,9.3,-0.193548,-0.0645162
594,0.6,9.4,-0.191489,-0.0638298
595,0.6,9.5,-0.189474,-0.0631579
596,0.6,9.6,-0.1875,-0.0625
597,0.6,9.7,-0.185567,-0.0618557
598,0.6,9.8,-0.183673,-0.0612245
599,0.6,9.9,-0.181818,-0.0606061
600,0.6,10,-0.18,-0.06
601,0.7,0.1,-21,-7
602,0.7,0.2,-10.5,-3.5
603,0.7,0.3,-7,-2.33333
604,0.7,0.4,-5.25,-1.75
605,0.7,0.5,-4.2,-1.4
606,0.7,0.6,-3.5,-1.16667
607,0.7,0.7,-3,-1
608,0.7,0.8,-2.625,-0.875
609,0.7,0.9,-2.33333,-0.777778
610,0.7,1,-2.1,-0.7
611,0.7,1.1,-1.90909,-0.636364
612,0.7,1.2,-1.75,-0.583333
613,0.7,1.3,-1.61538,-0.538462
614,0.7,1.4,-1.5,-0.5
615,0.7,1.5,-1.4,-0.466667
616,0.7,1.6,-1.3125,-0.4375
617,0.7,1.7,-1.23529,-0.411765
618,0.7,1.8,-1.16667,-0.388889
619,0.7,1.9,-1.10526,-0.368421
620,0.7,2,-1.05,-0.35
621,0.7,2.1,-1,-0.333333
622,0.7,2.2,-0.954545,-0.318182
623,0.7,2.3,-0.913043,-0.304348
624,0.7,2.4,-0.875,-0.291667
625,0.7,2.5,-0.84,-0.28
626,0.7,2.6,-0.807692,-0.269231
627,0.7,2.7,-0.777778,-0.259259
628,0.7,2.8,-0.75,-0.25
629,0.7,2.9,-0.724138,-0.241379
630,0.7,3,-0.7,-0.233333
631,0.7,3.1,-0.677419,-0.225806
632,0.7,3.2,-0.65625,-0.21875
633,0.7,3.3,-0.636364,-0.212121
634,0.7,3.4,-0.617647,-0.205882
635,0.7,3.5,-0.6,-0.2
636,0.7,3.6,-0.583333,-0.194445
637,0.7,3.7,-0.567567,-0.189189
