Number_of_bodies:3
Number_of_steps:10000
step timestep(s) energy angular_momentum_magnitude L_x L_y L_z body0_radius body0.x body0.y body0.z body1_radius body1.x body1.y body1.z body2_radius body2.x body2.y body2.z
66 6.6 2.9912 5.82867e-16 0 0 5.82867e-16 0.144878 -0.00657023 -0.144729 0 0.713274 0.0583987 -0.710879 0 0.857176 -0.0518285 0.855608 0
67 6.7 3.10727 5.82867e-16 0 0 5.82867e-16 0.206715 -0.131064 -0.159854 0 0.651741 0.133206 -0.637983 0 0.79784 -0.00214218 0.797837 0
68 6.8 3.18726 6.66134e-16 0 0 6.66134e-16 0.305429 -0.251993 -0.172588 0 0.592417 0.204978 -0.555826 0 0.72993 0.0470151 0.728414 0
69 6.9 3.23862 7.21645e-16 0 0 7.21645e-16 0.409015 -0.366179 -0.182225 0 0.538118 0.271617 -0.464538 0 0.653639 0.0945623 0.646763 0
70 7 3.26972 7.49401e-16 0 0 7.49401e-16 0.507052 -0.47082 -0.188229 0 0.492269 0.331199 -0.364192 0 0.569793 0.139621 0.552421 0
71 7.1 3.27987 7.49401e-16 0 0 7.49401e-16 0.595094 -0.563872 -0.190223 0 0.459652 0.382284 -0.255224 0 0.481038 0.181588 0.445447 0
72 7.2 3.25687 7.49401e-16 0 0 7.49401e-16 0.671185 -0.644294 -0.188081 0 0.446557 0.424299 -0.139227 0 0.394371 0.219995 0.327308 0
73 7.3 3.19012 6.66134e-16 0 0 6.66134e-16 0.734803 -0.711902 -0.18202 0 0.457918 0.457528 -0.0189136 0 0.324161 0.254374 0.200934 0
74 7.4 3.07701 6.66134e-16 0 0 6.66134e-16 0.786184 -0.767012 -0.172565 0 0.49347 0.482654 0.10275 0 0.292803 0.284358 0.069815 0
75 7.5 2.91872 5.82867e-16 0 0 5.82867e-16 0.825919 -0.81019 -0.160415 0 0.547813 0.500415 0.222899 0 0.316014 0.309775 -0.0624841 0
76 7.6 2.71941 6.38378e-16 0 0 6.38378e-16 0.854746 -0.842133 -0.1463 0 0.61351 0.51148 0.338795 0 0.382603 0.330652 -0.192495 0
77 7.7 2.49276 5.27356e-16 0 0 5.27356e-16 0.873452 -0.86359 -0.130881 0 0.683627 0.516449 0.447913 0 0.470123 0.347141 -0.317032 0
78 7.8 2.27134 6.66134e-16 0 0 6.66134e-16 0.882799 -0.875316 -0.114697 0 0.753017 0.515947 0.548482 0 0.563308 0.359369 -0.433785 0
79 7.9 2.09489 6.10623e-16 0 0 6.10623e-16 0.883483 -0.878013 -0.098152 0 0.819002 0.510662 0.640303 0 0.654885 0.367351 -0.542151 0
80 8 1.97591 5.82867e-16 0 0 5.82867e-16 0.876111 -0.872309 -0.0815313 0 0.880767 0.501191 0.724263 0 0.742181 0.371117 -0.642732 0
81 8.1 1.89804 5.55112e-16 0 0 5.55112e-16 0.861204 -0.858745 -0.0650304 0 0.93823 0.48795 0.801362 0 0.824423 0.370796 -0.736331 0
82 8.2 1.84458 5.82867e-16 0 0 5.82867e-16 0.839211 -0.837792 -0.0487742 0 0.991495 0.471213 0.872365 0 0.901489 0.366579 -0.823591 0
83 8.3 1.80614 5.82867e-16 0 0 5.82867e-16 0.810521 -0.809856 -0.032833 0 1.04068 0.451167 0.937799 0 0.973458 0.358689 -0.904966 0
84 8.4 1.77771 5.96745e-16 0 0 5.96745e-16 0.775487 -0.775296 -0.0172314 0 1.08588 0.427938 0.997998 0 1.04046 0.347357 -0.980766 0
85 8.5 1.75642 5.68989e-16 0 0 5.68989e-16 0.734438 -0.734435 -0.00195253 0 1.12713 0.401619 1.05315 0 1.10262 0.332816 -1.0512 0
